行業,時富雷達 (CR),行業,基本分析比重,技術分析比重,基本分析分數,技術分析分數,銷售額增長标准分数,債務股本比例标准分数,淨收入改善标准分数,資本回報标准分数,保留盈餘增長标准分数,基因分析標準分數,TA4,TA5,調整後移動平均線标准分数 (5日),相對強弱指數标准分数,布林线指數标准分数,技術分析標準分數,相對強弱指數 (9日),布林线 (上線) (20日),布林线 (下線) (20日),波幅指數 (10日),移動平均線 (5日)
通信服務,3.99,通信服務,40.0%,60.0%,6.22,3.64,0.6126088885,5,0.1818973335,0.6648513426,-0.3348320133,6.22490511,,,10,0,0.9294984291,3.643166143,65.60336444,23.93798333,18.71461667,49.23676667,21.78923333
消費奢侈品,5.77,消費奢侈品,56.7%,43.3%,4.75,5.89,-0.6877585155,0.8481669614,0.1926061717,-0.4180523343,-1.20265993,4.746460471,,,5.499902902,6.135845255,6.036506202,5.890751453,47.72830949,21.9238365,18.34472263,32.833,19.6447454
消費必需品,5.37,消費必需品,61.1%,38.9%,4.41,6.21,-0.5521938366,0.3115188399,-0.2785113142,-0.9845137665,-1.428704552,4.413519074,,,4.888312124,7.280101839,6.455713031,6.208042331,45.43979632,35.85278595,31.70191639,30.95790635,33.21762375
能源,8.51,能源,53.5%,46.5%,6.61,6.90,0.1165166074,5,2.08273742,0.7417597814,0.1328598373,6.614774729,,,4.150726448,9.469331959,7.087148468,6.902402292,41.06133608,11.37945361,9.770515464,34.22879381,10.3446
金融,4.47,金融,73.5%,26.5%,4.55,5.64,0.2546480717,-0.2859576854,0.4643263752,-0.8716980122,-1.807421241,4.550779502,,,6.702955022,5.413280636,4.805691892,5.640642517,49.17343873,16.15101156,13.74377457,25.65513873,14.68775491
醫療保健,7.35,醫療保健,47.8%,52.2%,5.26,6.52,-0.4210848357,0.1150839152,1.327973445,0.4814591764,-0.2088065993,5.25892502,,,4.320169048,8.586548485,6.648294695,6.51833741,42.82690303,35.21896023,30.21435606,36.67257955,32.15406383
輕重工業,6.04,輕重工業,53.9%,46.1%,5.03,5.69,-0.6196043864,1.828268957,0.4762814857,0.3208199559,-1.834414796,5.034270243,,,5.234407401,5.817633612,6.009819028,5.68728668,48.36473278,22.35395979,18.79640668,34.05865706,20.15906957
資訊科技,2.95,資訊科技,40.0%,60.0%,5.28,3.55,-0.9089365686,1.597814088,1.708904026,0.672123999,-1.673010953,5.279378918,,,8.06333545,0,2.572259291,3.545198247,60.20599201,34.94232741,28.72819423,43.01266038,32.11816894
原材物料,6.75,原材物料,62.6%,37.4%,5.26,6.23,-0.5264564102,0.5469472814,1.006218185,1.359050712,-1.099502905,5.257251373,,,4.31675741,7.498815196,6.865594225,6.22705561,45.00236961,20.45529412,17.37675613,30.31673652,18.49331994
房地產,4.07,房地產,58.9%,41.1%,3.70,6.13,-1.195074306,2.329855011,-1.409380143,-3.61432675,-2.590821898,3.704050383,,,4.392475447,7.154056808,6.857599197,6.134710484,45.69188638,9.120549296,7.941835681,31.88041315,8.373278408
公用事業,4.52,公用事業,75.0%,25.0%,4.24,6.71,-0.514389025,0.8374993206,-0.4512274999,-1.647315201,-2.037850723,4.237343374,,,3.566788647,8.776263265,7.783266248,6.70877272,42.44747347,10.27278912,9.290863946,23.69236735,9.674925163
