個股代號,個股代號／公司名字,時富雷達 (CR),行業,基本分析比重,技術分析比重,基本分析分數,技術分析分數,銷售額增長标准分数,債務股本比例标准分数,淨收入改善标准分数,資本回報标准分数,保留盈餘增長标准分数,基因分析標準分數,TA3,TA4,TA5,相對強弱指數标准分数,布蘭標準差分數,技術分析標準分數,相對強弱指數 (9日),布林线 (上線) (20日),布林线 (下線) (20日),波幅指數 (10日),移動平均線 (10日)
1 HK,1 HK/ 長和,3.49,輕重工業,75.0%,25.0%,4.49,4.47,-1.229112023,-1.879868125,1.289067657,-0.9507880307,0.2007309164,4.486006079,,,,4.6652,4.284475282,4.474837641,50.6696,49.538,47.232,23.283,48.6
101 HK,101 HK/ 恒隆地產,8.06,房地產,61.2%,38.8%,5.10,8.37,-0.2581574391,1.756519427,-0.08270593244,-0.4478238963,-0.4825298167,5.097060468,,,,9.1572,7.575360419,8.36628021,41.6856,15.896,14.37,30.895,14.9
1024 HK,1024 HK/ 快手,#VALUE!,通信服務,43.7%,56.3%,#VALUE!,3.56,-3.154461853,0.6067931457,1.063909085,#VALUE!,#DIV/0!,#VALUE!,,,,3.506,3.620045653,3.563022826,52.988,58.889,49.251,38.395,55.24
1038 HK,1038 HK/ 長江基建集團,4.34,公用事業,75.0%,25.0%,4.30,6.28,-0.3106042423,-2.061073174,-0.02872919957,-0.3182730494,-0.7828012986,4.299703807,,,,6.8091,5.746413339,6.277756669,46.3818,43.782,41.203,16.42,42.09
1044 HK,1044 HK/ 恒安國際,0.96,消費必需品,75.0%,25.0%,3.31,0.56,0.1036772385,-0.4096913313,-2.991335818,-4.031567797,-1.13646963,3.306922533,,,,0,1.117292536,0.558646268,61.9347,36.691,34.534,17.008,35.89
1088 HK,1088 HK/ 中國神華,9.28,能源,40.0%,60.0%,6.12,8.90,-1.210772044,-0.2225599139,3.015036861,5,-0.9770163979,6.120937701,,,,10,7.801631602,8.900815801,39.5773,25.967,23.638,41.942,25.19
1093 HK,1093 HK/ 石藥集團,8.92,醫療保健,40.0%,60.0%,4.69,8.90,0.05258806214,-0.1318776892,0.1068386485,-0.7373772583,-0.8421897522,4.689596402,,,,10,7.804249839,8.90212492,38.043,8.902,7.349,58.323,7.914
11 HK,11 HK/ 恒生銀行,6.91,金融,70.2%,29.8%,4.12,9.40,1.016424813,0.8265383249,-2.518725668,-2.296641501,-1.428988905,4.119721413,,,,10,8.80204807,9.401024035,24.6795,131.901,108.269,27.077,113.54
1109 HK,1109 HK/ 華潤置地,6.39,房地產,64.5%,35.5%,3.59,8.89,-0.941867435,0.02660048763,-0.9879184039,-3.110565885,-2.036237184,3.590002316,,,,10,7.779159413,8.889579707,38.3835,37.678,33.657,29.501,35.39
1113 HK,1113 HK/ 長實集團,5.79,房地產,74.6%,25.4%,4.05,8.74,-0.3927495614,-2.921455636,-0.3697959453,-0.4016324518,-0.6442051289,4.054032255,,,,10,7.489369242,8.744684621,38.5775,51.477,45.833,25.191,46.78
1177 HK,1177 HK/ 中國生物製藥,2.01,醫療保健,62.6%,37.4%,4.83,1.78,0.6588080251,-0.01244409942,-0.7346330143,-0.2189939441,-0.559198042,4.826707785,,,,1.55015,2.010723861,1.78043693,56.8997,4.455,4.082,30.334,4.384
12 HK,12 HK/ 恒基地產,6.36,房地產,75.0%,25.0%,4.29,8.96,-0.9346397114,0.1656125005,-0.6568034633,-0.9221078888,-1.184046536,4.29360298,,,,10,7.91511194,8.95755597,39.7511,28.597,26.453,18.424,26.86
1209 HK,1209 HK/ 華潤萬象生活,2.26,房地產,40.0%,60.0%,4.80,3.23,-0.6520888456,-0.846222244,1.255360675,0.139436074,-0.9074638306,4.797804366,,,,10,9.625277451,9.812638726,31.5572,45.672,38.013,47.672,40.13
1211 HK,1211 HK/ 比亞迪股份,6.08,消費奢侈品,61.7%,38.3%,4.93,6.03,0.3334414358,-1.856612642,0.5292036151,0.4904561956,0.1354989349,4.926397508,,,,6.43445,5.627500186,6.030975093,47.1311,230.649,190.402,30.717,207.68
1288 HK,1288 HK/ 農業銀行,3.36,金融,75.0%,25.0%,4.72,3.52,0.2675413734,0.8129102744,-0.2428341968,-0.8302898199,-1.385185021,4.724428522,,,,3.5037,3.544973545,3.524336772,52.9926,2.927,2.738,20.665,2.874
1299 HK,1299 HK/ 友邦保險,4.88,金融,40.0%,60.0%,3.11,6.20,-3.319901928,5,-5,-1.701367524,-4.437329921,3.108280125,,,,6.1482,6.254117999,6.201159,47.7036,88.903,75.547,50.756,80.34
1378 HK,1378 HK/ 中國宏橋,9.36,原材物料,40.0%,60.0%,4.91,10.00,0.5578179948,-2.046976685,0.3768341962,1.511848624,-0.8352330708,4.912858212,,,,10,10,10,28.7942,9.086,7.442,59.063,7.854
1398 HK,1398 HK/ 工商銀行,3.35,金融,75.0%,25.0%,4.48,4.24,0.1063018833,1.201722158,-1.003478757,-1.30994191,-1.577124804,4.483495714,,,,4.3938,4.077380952,4.235590476,51.2124,4.317,3.981,22.224,4.212
16 HK,16 HK/ 新鴻基地產,2.48,房地產,75.0%,25.0%,4.70,1.84,-0.2408297237,1.21583851,-1.022427854,-0.9726185801,-0.4667820871,4.702636053,,,,1.04275,2.634594883,1.838672441,57.9145,110.077,102.573,17.604,106.72
