Date,BTC 指數,布蘭特原油,金,銅,天然氣
4/27/2023,37.50%,-18.88%,18.49%,12.15%,-59.45%
4/26/2023,33.45%,-18.88%,18.24%,12.38%,-62.76%
4/25/2023,34.70%,-15.66%,18.74%,12.22%,-59.41%
4/24/2023,32.71%,-13.62%,18.46%,15.31%,-60.01%
4/21/2023,32.20%,-14.73%,17.91%,16.07%,-60.71%
4/20/2023,36.25%,-15.32%,19.61%,17.40%,-60.43%
4/19/2023,41.78%,-13.21%,18.91%,18.90%,-60.91%
4/18/2023,46.46%,-11.49%,19.64%,19.32%,-58.37%
4/17/2023,42.90%,-11.50%,18.89%,18.58%,-59.98%
4/14/2023,46.93%,-9.88%,19.41%,19.76%,-62.81%
4/13/2023,46.82%,-10.11%,21.75%,20.27%,-64.69%
4/12/2023,44.60%,-8.81%,19.95%,19.01%,-63.18%
4/11/2023,46.02%,-10.61%,19.60%,17.22%,-61.54%
4/10/2023,41.38%,-12.10%,18.70%,15.97%,-61.79%
4/7/2023,35.90%,-11.12%,20.04%,17.10%,-64.62%
4/6/2023,35.90%,-11.12%,20.04%,17.10%,-64.62%
4/5/2023,36.73%,-11.26%,20.59%,16.26%,-62.09%
4/4/2023,36.63%,-11.31%,20.74%,15.81%,-62.95%
4/3/2023,35.45%,-11.32%,18.50%,17.98%,-63.11%
3/31/2023,37.67%,-16.71%,17.66%,19.41%,-61.01%
3/30/2023,35.48%,-17.23%,18.34%,19.32%,-62.98%
3/29/2023,37.58%,-18.26%,17.56%,20.01%,-64.97%
3/28/2023,32.67%,-17.88%,17.91%,19.92%,-64.29%
3/27/2023,30.74%,-18.43%,16.79%,19.70%,-63.27%
3/24/2023,34.85%,-21.70%,18.58%,19.61%,-61.01%
3/23/2023,37.00%,-20.74%,19.26%,20.91%,-62.10%
3/22/2023,30.50%,-19.92%,16.50%,18.65%,-61.81%
3/21/2023,36.53%,-21.35%,16.01%,17.19%,-58.69%
3/20/2023,35.23%,-22.95%,18.46%,15.94%,-60.89%
3/17/2023,29.87%,-23.81%,17.90%,14.13%,-58.87%
3/16/2023,20.97%,-22.00%,14.90%,13.31%,-55.77%
3/15/2023,17.95%,-23.06%,15.40%,12.47%,-57.09%
3/14/2023,21.46%,-19.13%,14.18%,16.96%,-54.73%
3/13/2023,17.97%,-15.66%,14.51%,18.68%,-54.15%
3/10/2023,-3.33%,-13.56%,11.60%,17.98%,-57.25%
3/9/2023,-1.87%,-14.81%,9.68%,18.24%,-55.26%
3/8/2023,7.01%,-13.69%,8.74%,17.86%,-55.12%
3/7/2023,6.78%,-13.03%,8.81%,16.26%,-52.73%
3/6/2023,8.28%,-10.01%,10.86%,19.58%,-54.75%
3/3/2023,7.97%,-10.38%,10.86%,18.93%,-47.06%
3/2/2023,13.61%,-11.51%,10.02%,19.10%,-51.35%
3/1/2023,13.35%,-11.97%,10.31%,21.55%,-50.55%
2/28/2023,12.41%,-12.40%,9.78%,19.50%,-51.67%
2/27/2023,13.05%,-13.91%,9.09%,16.91%,-51.95%
2/24/2023,12.47%,-13.17%,8.64%,15.25%,-56.88%
2/23/2023,16.01%,-14.16%,9.21%,18.37%,-59.29%
2/22/2023,15.41%,-15.84%,10.08%,22.21%,-61.75%
2/21/2023,18.59%,-13.28%,10.14%,23.23%,-63.53%
2/20/2023,20.13%,-12.22%,10.59%,19.82%,-59.98%
2/17/2023,20.13%,-13.33%,10.59%,19.82%,-59.98%
2/16/2023,18.81%,-11.10%,10.69%,20.60%,-57.97%
2/15/2023,16.75%,-10.85%,10.30%,16.96%,-56.53%
2/14/2023,7.49%,-10.64%,11.49%,18.84%,-54.84%
2/13/2023,4.91%,-9.56%,11.37%,18.33%,-57.69%
2/10/2023,5.10%,-9.79%,12.03%,17.13%,-55.77%
2/9/2023,6.34%,-11.77%,12.27%,19.48%,-57.25%
2/8/2023,10.80%,-11.15%,13.01%,17.69%,-57.85%
2/7/2023,12.54%,-12.61%,12.64%,19.00%,-54.54%
2/6/2023,11.38%,-15.43%,12.32%,17.67%,-56.77%
2/3/2023,13.16%,-16.53%,12.16%,18.30%,-57.60%
2/2/2023,15.38%,-14.20%,15.37%,19.31%,-56.79%
2/1/2023,14.61%,-13.50%,16.09%,19.89%,-56.58%
1/31/2023,11.90%,-11.78%,16.24%,23.24%,-52.78%
1/30/2023,10.22%,-11.35%,15.87%,22.54%,-52.90%
1/27/2023,12.02%,-9.51%,16.24%,23.14%,-45.30%
1/26/2023,11.69%,-8.67%,16.31%,24.45%,-48.21%
1/25/2023,11.15%,-10.08%,17.07%,23.78%,-46.04%
1/24/2023,11.62%,-10.07%,16.66%,23.90%,-42.68%
1/23/2023,11.33%,-7.91%,16.25%,24.13%,-39.36%
1/20/2023,8.05%,-8.50%,16.21%,23.99%,-44.16%
1/19/2023,2.02%,-10.03%,15.94%,23.40%,-42.38%
1/18/2023,0.62%,-11.27%,14.96%,23.49%,-41.75%
1/17/2023,3.36%,-10.29%,15.14%,23.16%,-36.91%
1/16/2023,-5.87%,-11.81%,15.83%,22.95%,-39.85%
1/13/2023,-5.87%,-10.95%,15.83%,22.95%,-39.85%
1/12/2023,-8.10%,-12.26%,14.47%,22.38%,-34.99%
1/11/2023,-14.96%,-13.68%,13.28%,21.49%,-35.42%
1/10/2023,-15.39%,-16.36%,13.12%,18.91%,-35.98%
1/9/2023,-16.62%,-16.83%,13.19%,17.42%,-31.21%
1/6/2023,-18.13%,-17.96%,12.68%,14.06%,-34.73%
1/5/2023,-18.34%,-17.83%,10.95%,11.43%,-34.55%
1/4/2023,-18.60%,-18.72%,12.03%,9.08%,-26.60%
1/3/2023,-19.31%,-14.27%,11.23%,9.84%,-29.84%
1/2/2023,-19.56%,-10.30%,10.05%,11.13%,-21.27%
12/30/2022,-19.56%,-10.30%,10.05%,11.13%,-21.27%
12/29/2022,-19.62%,-14.11%,10.03%,11.52%,-19.79%
12/28/2022,-19.68%,-13.06%,9.41%,11.75%,-17.15%
12/27/2022,-19.32%,-11.95%,9.85%,11.80%,-7.07%
12/26/2022,-18.60%,-12.37%,8.73%,10.91%,-10.64%
12/23/2022,-18.60%,-12.37%,8.73%,10.91%,-10.64%
12/22/2022,-18.70%,-15.44%,8.19%,9.41%,-12.05%
12/21/2022,-18.69%,-14.17%,9.98%,10.99%,-6.19%
12/20/2022,-18.30%,-16.48%,9.98%,10.75%,-6.30%
12/19/2022,-19.57%,-16.68%,8.32%,10.32%,2.94%
12/16/2022,-18.30%,-17.47%,8.47%,9.70%,16.12%
12/15/2022,-15.63%,-15.20%,7.72%,9.74%,22.62%
12/14/2022,-13.71%,-13.65%,9.54%,13.01%,13.12%
12/13/2022,-13.97%,-15.76%,9.93%,11.97%,22.01%
12/12/2022,-16.85%,-18.57%,7.97%,10.78%,15.89%
12/9/2022,-17.13%,-20.54%,9.08%,13.04%,9.87%
12/8/2022,-16.72%,-20.49%,8.54%,13.17%,4.89%
12/7/2022,-18.49%,-19.42%,8.33%,12.44%,0.69%
12/6/2022,-17.69%,-17.15%,7.41%,11.15%,-3.78%
12/5/2022,-17.90%,-13.67%,7.35%,10.51%,-1.88%
12/2/2022,-17.46%,-10.65%,9.00%,12.22%,10.50%
12/1/2022,-18.18%,-9.28%,9.31%,11.23%,18.54%
11/30/2022,-17.32%,-10.80%,6.07%,8.76%,21.92%
11/29/2022,-20.15%,-13.30%,6.27%,5.86%,27.29%
11/28/2022,-21.40%,-13.14%,5.78%,5.32%,18.09%
11/25/2022,-19.95%,-12.68%,6.59%,5.79%,23.57%
11/24/2022,-19.88%,-10.89%,6.12%,5.51%,28.57%
11/23/2022,-19.88%,-10.82%,6.12%,5.51%,28.57%
11/22/2022,-22.06%,-7.74%,5.78%,5.41%,19.26%
11/21/2022,-23.42%,-8.69%,5.75%,4.16%,19.21%
11/18/2022,-19.43%,-8.51%,6.59%,5.92%,10.89%
11/17/2022,-19.13%,-6.25%,7.10%,7.55%,12.05%
11/16/2022,-19.71%,-3.04%,7.88%,10.05%,9.08%
11/15/2022,-18.59%,-1.99%,7.93%,11.40%,6.16%
11/14/2022,-21.15%,-2.75%,7.87%,11.80%,4.38%
11/11/2022,-19.27%,0.23%,7.43%,14.13%,3.43%
11/10/2022,-13.02%,-2.19%,6.49%,9.59%,9.76%
11/9/2022,-21.89%,-3.26%,4.13%,7.90%,3.18%
11/8/2022,-11.35%,-0.43%,4.26%,7.39%,7.99%
11/7/2022,0.77%,2.24%,2.16%,5.09%,22.17%
11/4/2022,2.20%,2.92%,1.93%,7.51%,12.60%
11/3/2022,-1.95%,-1.15%,-0.79%,-0.06%,5.12%
11/2/2022,-1.97%,0.41%,0.36%,1.15%,10.27%
11/1/2022,-0.96%,-1.17%,0.31%,1.27%,0.53%
10/31/2022,-1.25%,-0.98%,-0.24%,-1.57%,11.81%
10/28/2022,0.00%,0.00%,0.00%,0.00%,0.00%
