Date,美國國債孳息-2年,美國國債孳息-5年,美國國債孳息-10年,美國國債孳息-30年,中國國債孳息-2年,中國國債孳息-5年,中國國債孳息-10年,中國國債孳息-30年
6/15/2023,4.6943,3.9926,3.7881,3.8777,2.081,2.383,2.627,3.005
6/14/2023,4.6879,3.9891,3.7862,3.8823,2.082,2.382,2.618,2.996
6/13/2023,4.6662,3.9907,3.8133,3.92,2.083,2.396,2.621,3.008
6/12/2023,4.577,3.8936,3.7356,3.8813,2.123,2.42,2.683,3.036
6/9/2023,4.5956,3.9128,3.7394,3.8804,2.11,2.419,2.688,3.041
6/8/2023,4.5147,3.8581,3.7179,3.8877,2.112,2.435,2.704,3.065
6/7/2023,4.5563,3.9404,3.7952,3.945,2.091,2.425,2.703,3.064
6/6/2023,4.4786,3.8072,3.6602,3.8439,2.095,2.426,2.706,3.072
6/5/2023,4.4659,3.8176,3.6831,3.8831,2.132,2.44,2.715,3.079
6/2/2023,4.4969,3.8437,3.6907,3.8877,2.152,2.439,2.715,3.079
6/1/2023,4.3408,3.6975,3.595,3.8149,2.144,2.415,2.702,3.067
5/31/2023,4.4027,3.7547,3.6426,3.8611,2.159,2.443,2.706,3.072
5/30/2023,4.4501,3.8067,3.6866,3.8904,2.178,2.47,2.717,3.083
5/29/2023,4.5619,3.9271,3.7983,3.9607,2.198,2.475,2.712,3.084
5/26/2023,4.5619,3.9271,3.7983,3.9607,2.208,2.49,2.718,3.092
5/25/2023,4.5329,3.9131,3.8174,3.9953,2.21,2.474,2.705,3.076
5/24/2023,4.3757,3.8186,3.7419,3.9859,2.209,2.473,2.704,3.072
5/23/2023,4.316,3.7426,3.6919,3.9476,2.202,2.463,2.698,3.088
5/22/2023,4.3154,3.7619,3.7148,3.9662,2.226,2.516,2.71,3.1
5/19/2023,4.2659,3.7319,3.6726,3.9271,2.219,2.516,2.715,3.1
5/18/2023,4.2517,3.6843,3.6457,3.904,2.277,2.544,2.717,3.107
5/17/2023,4.154,3.5848,3.5641,3.8538,2.273,2.543,2.72,3.097
5/16/2023,4.0821,3.5257,3.5339,3.8537,2.269,2.535,2.711,3.091
5/15/2023,4.0104,3.4686,3.5019,3.8419,2.255,2.531,2.72,3.087
5/12/2023,3.9872,3.4462,3.4625,3.7888,2.245,2.511,2.703,3.081
5/11/2023,3.8994,3.3553,3.3843,3.7402,2.243,2.515,2.699,3.096
5/10/2023,3.9098,3.3845,3.4426,3.7965,2.271,2.55,2.713,3.096
5/9/2023,4.0221,3.4947,3.5186,3.8381,2.296,2.576,2.736,3.107
5/8/2023,4.0012,3.4912,3.5072,3.8227,2.295,2.58,2.746,3.113
5/5/2023,3.9139,3.4104,3.437,3.7535,2.296,2.564,2.731,3.108
5/4/2023,3.7903,3.3286,3.3787,3.7296,2.32,2.595,2.759,3.132
5/3/2023,3.8048,3.298,3.3356,3.6821,2.335,2.614,2.775,3.145
5/2/2023,3.9613,3.4484,3.4239,3.7119,2.335,2.614,2.775,3.145
5/1/2023,4.1407,3.6345,3.5681,3.8081,2.335,2.614,2.775,3.145
4/28/2023,4.0064,3.4828,3.422,3.6733,2.335,2.614,2.775,3.145
4/27/2023,4.0682,3.5912,3.5204,3.7499,2.342,2.616,2.785,3.148
4/26/2023,3.9509,3.4975,3.4485,3.7022,2.372,2.636,2.798,3.17
4/25/2023,3.9544,3.4491,3.3996,3.6585,2.386,2.655,2.815,3.168
4/24/2023,4.0882,3.5706,3.4901,3.7092,2.384,2.654,2.816,3.168
