Date,深證成指,滬深300,恆生指數,美國標普500,美國納指,上證綜指,國企指數,歐洲斯托克50,恆生科技指數
6/15/2023,1.29%,-5.52%,-9.28%,6.41%,12.76%,1.46%,-11.06%,15.18%,-8.98%
6/14/2023,1.29%,-5.52%,-9.28%,6.41%,12.76%,1.46%,-11.06%,15.18%,-8.98%
6/13/2023,1.05%,-5.49%,-8.70%,6.32%,12.37%,1.61%,-10.43%,14.53%,-9.34%
6/12/2023,0.42%,-6.03%,-9.30%,5.63%,11.54%,1.46%,-10.92%,13.81%,-11.68%
6/9/2023,-0.31%,-6.23%,-9.37%,4.71%,10.02%,1.54%,-10.87%,13.19%,-11.94%
6/8/2023,-1.01%,-6.66%,-9.84%,4.59%,9.87%,0.98%,-11.62%,13.38%,-12.96%
6/7/2023,-0.87%,-7.47%,-10.09%,3.97%,8.85%,0.49%,-11.60%,13.24%,-12.28%
6/6/2023,-0.70%,-6.97%,-10.88%,4.36%,10.15%,0.41%,-12.54%,13.32%,-14.52%
6/5/2023,1.04%,-6.03%,-10.83%,4.12%,9.80%,1.57%,-12.79%,13.27%,-14.35%
6/2/2023,1.13%,-5.57%,-11.67%,4.32%,9.89%,1.49%,-13.34%,13.98%,-14.78%
6/1/2023,-0.02%,-7.01%,-15.61%,2.88%,8.82%,0.70%,-17.77%,12.44%,-19.97%
5/31/2023,-0.47%,-7.23%,-15.52%,1.90%,7.55%,0.70%,-17.55%,11.51%,-20.08%
5/30/2023,-0.03%,-6.20%,-13.55%,2.51%,8.18%,1.31%,-15.61%,13.24%,-18.03%
5/29/2023,-0.52%,-6.30%,-13.79%,2.51%,7.86%,1.23%,-16.14%,13.90%,-19.52%
5/26/2023,-0.01%,-5.86%,-12.74%,2.51%,7.86%,0.95%,-14.82%,14.30%,-18.32%
5/25/2023,-0.32%,-5.87%,-12.74%,1.21%,5.70%,0.60%,-14.82%,12.72%,-18.32%
5/24/2023,-0.16%,-5.64%,-10.79%,0.34%,4.00%,0.71%,-12.57%,12.59%,-16.05%
5/23/2023,0.30%,-4.25%,-9.16%,1.08%,4.61%,1.99%,-10.65%,14.41%,-14.05%
5/22/2023,1.30%,-2.83%,-7.90%,2.20%,5.88%,3.53%,-9.29%,15.40%,-12.73%
5/19/2023,0.91%,-3.45%,-9.06%,2.19%,5.38%,3.14%,-10.80%,15.62%,-14.85%
5/18/2023,0.79%,-3.16%,-7.65%,2.33%,5.63%,3.56%,-8.97%,14.99%,-12.38%
5/17/2023,0.66%,-3.06%,-8.50%,1.39%,4.13%,3.16%,-10.15%,13.97%,-13.59%
5/16/2023,0.33%,-2.60%,-6.38%,0.21%,2.86%,3.36%,-7.87%,13.79%,-11.34%
5/15/2023,1.05%,-2.09%,-6.42%,0.85%,3.04%,3.96%,-8.01%,13.81%,-12.17%
5/12/2023,-0.13%,-3.63%,-8.16%,0.56%,2.39%,2.80%,-9.75%,13.85%,-13.48%
5/11/2023,0.99%,-2.29%,-7.56%,0.71%,2.75%,3.93%,-9.27%,13.66%,-13.78%
5/10/2023,0.82%,-2.14%,-7.47%,0.88%,2.57%,4.22%,-9.45%,13.59%,-15.11%
5/9/2023,0.52%,-1.36%,-6.94%,0.44%,1.53%,5.37%,-8.68%,13.97%,-15.45%
5/8/2023,1.69%,-0.50%,-4.80%,0.90%,2.16%,6.47%,-6.29%,14.56%,-12.45%
5/5/2023,1.25%,-1.64%,-6.03%,0.85%,1.99%,4.68%,-7.75%,14.37%,-12.93%
5/4/2023,2.05%,-1.30%,-6.53%,-0.98%,-0.23%,5.15%,-8.92%,13.13%,-13.95%
5/3/2023,2.13%,-1.33%,-7.79%,-0.26%,0.26%,4.34%,-10.87%,13.67%,-14.50%
5/2/2023,2.13%,-1.33%,-6.61%,0.45%,0.71%,4.34%,-9.50%,13.31%,-12.85%
5/1/2023,2.13%,-1.33%,-6.80%,1.61%,1.80%,4.34%,-9.17%,14.80%,-12.78%
4/28/2023,2.13%,-1.33%,-6.80%,1.65%,1.92%,4.34%,-9.17%,14.80%,-12.78%
4/27/2023,0.73%,-2.35%,-7.08%,0.83%,1.22%,3.21%,-9.57%,14.77%,-13.80%
4/26/2023,0.62%,-3.08%,-7.49%,-1.11%,-1.17%,2.54%,-9.88%,14.54%,-13.54%
4/25/2023,0.10%,-3.00%,-8.20%,-0.72%,-1.64%,2.57%,-10.68%,15.23%,-14.78%
4/24/2023,1.80%,-2.49%,-6.47%,0.87%,0.36%,2.89%,-8.71%,15.77%,-11.26%
4/21/2023,2.62%,-1.25%,-5.90%,0.78%,0.65%,3.67%,-8.25%,15.93%,-11.04%
4/20/2023,5.10%,0.73%,-4.31%,0.69%,0.54%,5.65%,-6.33%,15.39%,-7.86%
4/19/2023,5.50%,1.01%,-4.45%,1.29%,1.35%,5.74%,-6.42%,15.58%,-7.77%
4/18/2023,6.08%,1.91%,-3.07%,1.30%,1.32%,6.43%,-4.78%,15.59%,-5.34%
4/17/2023,6.20%,1.61%,-2.44%,1.21%,1.35%,6.20%,-4.02%,14.99%,-4.13%
4/14/2023,6.00%,0.22%,-4.10%,0.88%,1.07%,4.79%,-6.05%,15.52%,-6.27%
4/13/2023,5.56%,-0.35%,-4.57%,1.09%,1.42%,4.19%,-6.61%,14.89%,-6.37%
4/12/2023,6.47%,0.34%,-4.74%,-0.23%,-0.54%,4.46%,-6.75%,14.22%,-6.20%
4/11/2023,6.11%,0.41%,-3.88%,0.19%,0.31%,4.05%,-5.53%,14.20%,-4.27%
4/10/2023,5.97%,0.53%,-4.63%,0.19%,0.75%,4.10%,-6.34%,13.65%,-4.52%
4/7/2023,6.99%,0.98%,-4.63%,0.09%,0.78%,4.47%,-6.34%,13.65%,-4.52%
4/6/2023,6.07%,0.33%,-4.63%,0.09%,0.78%,4.02%,-6.34%,13.65%,-4.52%
4/5/2023,6.11%,0.49%,-4.91%,-0.26%,0.02%,4.02%,-6.61%,13.39%,-4.62%
4/4/2023,6.11%,0.49%,-4.91%,-0.02%,1.09%,4.02%,-6.61%,13.79%,-4.62%
4/3/2023,6.56%,0.18%,-4.25%,0.57%,1.61%,3.53%,-5.67%,13.69%,-3.00%
3/31/2023,5.42%,-0.79%,-4.29%,0.20%,1.88%,2.81%,-5.27%,13.78%,-2.97%
3/30/2023,4.64%,-1.10%,-4.74%,-1.24%,0.16%,2.46%,-5.93%,13.09%,-3.75%
3/29/2023,4.41%,-1.90%,-5.32%,-1.81%,-0.57%,1.80%,-6.56%,11.82%,-4.31%
3/28/2023,4.46%,-2.07%,-7.36%,-3.22%,-2.35%,1.97%,-8.76%,10.32%,-6.75%
3/27/2023,5.16%,-1.75%,-8.46%,-3.06%,-1.90%,2.15%,-9.97%,10.23%,-7.68%
3/24/2023,5.04%,-1.38%,-6.70%,-3.23%,-1.43%,2.59%,-7.79%,9.41%,-4.82%
3/23/2023,4.79%,-1.09%,-6.03%,-3.79%,-1.74%,3.23%,-7.18%,11.25%,-5.43%
