Date,深證成指,滬深300,恆生指數,美國標普500,美國納指,上證綜指,國企指數,歐洲斯托克50,恆生科技指數
3/31/2023,-1.17%,-4.81%,-4.36%,-8.53%,-12.51%,1.43%,-5.23%,9.80%,-4.84%
3/30/2023,-1.17%,-4.81%,-5.70%,-8.53%,-12.51%,1.43%,-6.77%,9.80%,-6.84%
3/29/2023,-1.40%,-5.62%,-6.28%,-9.10%,-13.24%,0.77%,-7.40%,8.53%,-7.41%
3/28/2023,-1.35%,-5.78%,-8.32%,-10.52%,-15.02%,0.94%,-9.60%,7.03%,-9.84%
3/27/2023,-0.65%,-5.46%,-9.42%,-10.36%,-14.57%,1.12%,-10.81%,6.94%,-10.77%
3/24/2023,-0.76%,-5.10%,-7.66%,-10.52%,-14.10%,1.56%,-8.63%,6.12%,-7.91%
3/23/2023,-1.02%,-4.80%,-6.99%,-11.09%,-14.41%,2.20%,-8.02%,7.96%,-8.53%
3/22/2023,-1.63%,-5.79%,-9.30%,-11.38%,-15.41%,1.56%,-10.94%,7.69%,-13.15%
3/21/2023,-2.23%,-6.21%,-11.01%,-9.72%,-13.80%,1.26%,-12.31%,7.35%,-14.26%
3/20/2023,-3.79%,-7.31%,-12.36%,-11.01%,-15.37%,0.62%,-13.54%,5.85%,-16.68%
3/17/2023,-3.47%,-6.81%,-9.67%,-11.90%,-15.75%,1.10%,-11.31%,4.52%,-13.89%
3/16/2023,-3.99%,-7.31%,-11.30%,-10.79%,-15.01%,0.37%,-13.34%,5.79%,-18.20%
3/15/2023,-2.46%,-6.10%,-9.57%,-12.53%,-17.46%,1.49%,-12.15%,3.78%,-16.78%
3/14/2023,-2.71%,-6.16%,-11.07%,-11.83%,-17.51%,0.94%,-14.01%,7.30%,-18.76%
3/13/2023,-1.73%,-5.56%,-8.77%,-13.47%,-19.62%,1.66%,-11.69%,5.29%,-16.13%
3/10/2023,-2.17%,-6.60%,-10.70%,-13.32%,-20.07%,0.47%,-13.91%,8.49%,-18.98%
3/9/2023,-0.93%,-5.28%,-7.61%,-11.86%,-18.30%,1.88%,-10.79%,9.82%,-15.12%
3/8/2023,-0.85%,-4.92%,-6.98%,-10.00%,-16.22%,2.10%,-9.63%,9.87%,-13.65%
3/7/2023,-1.15%,-4.56%,-4.60%,-10.14%,-16.62%,2.16%,-6.92%,9.65%,-10.36%
3/6/2023,0.89%,-3.08%,-4.27%,-8.59%,-15.36%,3.27%,-6.56%,10.46%,-9.05%
3/3/2023,0.89%,-2.56%,-4.44%,-8.66%,-15.25%,3.46%,-6.53%,10.02%,-8.23%
3/2/2023,0.92%,-2.87%,-5.11%,-10.26%,-17.20%,2.93%,-7.72%,8.75%,-10.27%
3/1/2023,1.43%,-2.65%,-4.19%,-11.02%,-17.93%,2.98%,-6.89%,8.16%,-8.85%
2/28/2023,0.42%,-4.05%,-8.31%,-10.54%,-17.27%,1.99%,-11.82%,8.70%,-15.27%
2/27/2023,-0.38%,-4.68%,-7.52%,-10.24%,-17.17%,1.33%,-10.48%,8.92%,-13.64%
2/24/2023,0.36%,-4.26%,-7.19%,-10.55%,-17.80%,1.61%,-9.99%,7.28%,-13.12%
2/23/2023,1.01%,-3.21%,-5.50%,-9.49%,-16.10%,2.23%,-7.68%,9.16%,-9.72%
2/22/2023,1.25%,-3.13%,-5.14%,-10.02%,-16.82%,2.34%,-8.08%,8.80%,-10.90%
2/21/2023,1.52%,-2.23%,-4.62%,-9.86%,-16.95%,2.81%,-6.74%,8.98%,-9.51%
2/20/2023,1.33%,-2.49%,-2.90%,-7.84%,-14.41%,2.31%,-4.75%,9.47%,-5.88%
2/17/2023,-0.37%,-4.91%,-3.70%,-7.84%,-14.41%,0.28%,-5.78%,9.56%,-7.14%
2/16/2023,0.80%,-3.46%,-2.42%,-7.56%,-13.83%,1.05%,-4.38%,10.08%,-4.60%
2/15/2023,2.52%,-2.73%,-3.26%,-6.17%,-12.04%,2.02%,-5.40%,9.68%,-6.41%
2/14/2023,2.58%,-2.20%,-1.82%,-6.45%,-12.96%,2.40%,-4.09%,8.71%,-5.44%
2/13/2023,2.66%,-2.25%,-1.58%,-6.42%,-13.53%,2.13%,-3.62%,8.77%,-4.42%
2/10/2023,1.48%,-3.15%,-1.46%,-7.56%,-15.00%,1.41%,-3.87%,7.74%,-4.71%
2/9/2023,1.91%,-2.55%,0.57%,-7.78%,-14.39%,1.71%,-1.27%,8.97%,-0.02%
2/8/2023,0.39%,-3.89%,-1.02%,-6.89%,-13.37%,0.53%,-2.99%,8.01%,-3.14%
2/7/2023,0.93%,-3.44%,-0.95%,-5.78%,-11.68%,1.02%,-2.40%,8.01%,-1.24%
2/6/2023,0.57%,-3.62%,-1.31%,-7.06%,-13.57%,0.73%,-2.99%,7.92%,-2.39%
2/3/2023,1.41%,-2.29%,0.74%,-6.44%,-12.57%,1.49%,-0.28%,9.16%,1.33%
2/2/2023,1.83%,-1.34%,2.10%,-5.40%,-10.97%,2.17%,1.32%,8.76%,2.67%
2/1/2023,1.88%,-0.99%,2.62%,-6.86%,-14.17%,2.15%,2.04%,7.11%,2.65%
1/31/2023,0.45%,-1.93%,1.57%,-7.90%,-16.15%,1.26%,0.23%,6.91%,-0.66%
1/30/2023,0.81%,-0.86%,2.61%,-9.35%,-17.81%,1.67%,1.19%,6.80%,0.16%
1/27/2023,-0.34%,-1.33%,5.38%,-8.05%,-15.83%,1.54%,4.82%,7.26%,5.12%
1/26/2023,-0.34%,-1.33%,4.84%,-8.30%,-16.77%,1.54%,3.96%,7.17%,4.09%
1/25/2023,-0.34%,-1.33%,2.50%,-9.39%,-18.52%,1.54%,1.02%,6.54%,-0.09%
1/24/2023,-0.34%,-1.33%,2.50%,-9.37%,-18.33%,1.54%,1.02%,6.66%,-0.09%
1/23/2023,-0.34%,-1.33%,2.50%,-9.30%,-18.07%,1.54%,1.02%,6.61%,-0.09%
1/20/2023,-0.34%,-1.33%,2.50%,-10.48%,-20.06%,1.54%,1.02%,5.86%,-0.09%
1/19/2023,-0.99%,-1.95%,0.69%,-12.36%,-22.68%,0.78%,-1.29%,5.24%,-2.72%
1/18/2023,-1.66%,-2.57%,0.82%,-11.59%,-21.72%,0.29%,-0.91%,7.18%,-1.06%
1/17/2023,-1.83%,-2.40%,0.35%,-10.02%,-20.47%,0.29%,-1.27%,7.17%,-1.59%
1/16/2023,-1.80%,-2.38%,1.14%,-9.82%,-20.61%,0.39%,-0.78%,6.76%,-1.46%
1/13/2023,-3.14%,-3.93%,1.10%,-9.82%,-20.61%,-0.62%,-0.22%,6.61%,-0.39%
1/12/2023,-4.03%,-5.33%,0.06%,-10.22%,-21.32%,-1.62%,-1.30%,6.03%,-1.89%
1/11/2023,-4.13%,-5.52%,-0.30%,-10.56%,-21.95%,-1.67%,-1.31%,5.37%,-0.56%
1/10/2023,-3.46%,-5.34%,-0.79%,-11.84%,-23.69%,-1.43%,-1.96%,4.34%,-0.31%
1/9/2023,-3.75%,-5.45%,-0.53%,-12.53%,-24.69%,-1.22%,-1.65%,4.61%,-0.05%
1/6/2023,-4.43%,-6.25%,-2.40%,-12.45%,-25.32%,-1.80%,-3.63%,3.35%,-3.15%
1/5/2023,-4.60%,-6.56%,-2.11%,-14.71%,-27.85%,-1.88%,-3.23%,1.89%,-1.73%
1/4/2023,-6.17%,-8.49%,-3.35%,-13.54%,-26.37%,-2.89%,-4.73%,2.26%,-3.24%
1/3/2023,-6.23%,-8.62%,-6.51%,-14.29%,-27.06%,-3.11%,-8.06%,-0.08%,-7.71%
1/2/2023,-7.67%,-9.03%,-8.34%,-13.89%,-26.30%,-3.99%,-9.97%,-0.76%,-10.21%
